Political party	Standpoint	Ideal or Political Matters/Actions or main issue:
PvdD (Partij voor de Dieren)	Promotion of cycling and walking infrastructure	Political Matters/Actions
PvdD (Partij voor de Dieren)	Protection of natural resources and wildlife habitats	Political Matters/Actions
PvdD (Partij voor de Dieren)	Ethical and transparent use of technology	Political Matters/Actions
PvdD (Partij voor de Dieren)	Strengthening of workers' rights and labor unions	Political Matters/Actions
PvdD (Partij voor de Dieren)	Encouragement of artistic expression and cultural diversity	Political Matters/Actions
PvdD (Partij voor de Dieren)	Improved accessibility for people with disabilities	Political Matters/Actions
PvdD (Partij voor de Dieren)	Reduction of bureaucracy and increased efficiency in government services	Political Matters/Actions
PvdD (Partij voor de Dieren)	Greater investment in scientific research and innovation	Political Matters/Actions
PvdD (Partij voor de Dieren)	The main issue that the PvdD wants to address is the lack of consideration for animal welfare and the environment in current political decision-making processes. They argue that the interests of humans and animals should be balanced equally, and that long-term sustainability should be prioritized over short-term economic gain.	Main Issue
PVV (Partij voor de Vrijheid	National sovereignty and independence	Ideals
PVV (Partij voor de Vrijheid	Protection of Dutch culture and values	Ideals
PVV (Partij voor de Vrijheid	Individual freedom and responsibility	Ideals
PVV (Partij voor de Vrijheid	Limited government intervention in society and economy	Ideals
PVV (Partij voor de Vrijheid	Priority for the safety and security of citizens	Ideals
PVV (Partij voor de Vrijheid	Promotion of traditional family values	Ideals
PVV (Partij voor de Vrijheid	Emphasis on education and integration of immigrants	Ideals
PVV (Partij voor de Vrijheid	Reduce bureaucracy and increase efficiency in government services	Political Matters/Actions
PVV (Partij voor de Vrijheid	Introduce binding referendums and citizen initiatives	Political Matters/Actions
PVV (Partij voor de Vrijheid	Implement direct democracy at the local level	Political Matters/Actions
PVV (Partij voor de Vrijheid	Increase investment in defense and security measures	Political Matters/Actions
PVV (Partij voor de Vrijheid	Establish a national police force	Political Matters/Actions
PVV (Partij voor de Vrijheid	Reintroduce conscription for young people	Political Matters/Actions
PVV (Partij voor de Vrijheid	Encourage entrepreneurship and reduce regulations on businesses	Political Matters/Actions
PVV (Partij voor de Vrijheid	Lower taxes and abolish inheritance tax	Political Matters/Actions
PVV (Partij voor de Vrijheid	Limit immigration and promote assimilation of newcomers	Political Matters/Actions
PVV (Partij voor de Vrijheid	Restrict benefits for foreigners and introduce a "Dutch first" policy	Political Matters/Actions
PVV (Partij voor de Vrijheid	Combat climate change skepticism and promote sustainable energy sources	Political Matters/Actions
PVV (Partij voor de Vrijheid	Support Israel and defend its right to exist	Political Matters/Actions
PVV (Partij voor de Vrijheid	Withdraw from the EU and establish bilateral trade agreements	Political Matters/Actions
PVV (Partij voor de Vrijheid	Promote Dutch language and culture through public media	Political Matters/Actions
PVV (Partij voor de Vrijheid	Increase funding for healthcare and elderly care	Political Matters/Actions
PVV (Partij voor de Vrijheid	Provide more support for veterans and their families	Political Matters/Actions
PVV (Partij voor de Vrijheid	Improve infrastructure and public transportation	Political Matters/Actions
PVV (Partij voor de Vrijheid	Encourage community service and volunteer work	Political Matters/Actions
PVV (Partij voor de Vrijheid	The main issue that the PVV wants to address is what they perceive as the threat of Islamization and the erosion of Dutch culture and values due to mass immigration and lack of integration. They believe that by promoting a strong national identity, protecting traditional values, and limiting immigration, they can preserve the Netherlands' unique character and way of life.	Main Issue
SGP (Staatkundig Gereformeerde Partij)	Christian values	Ideals
SGP (Staatkundig Gereformeerde Partij)	Conservative principles	Ideals
SGP (Staatkundig Gereformeerde Partij)	Individual responsibility	Ideals
SGP (Staatkundig Gereformeerde Partij)	Limited government intervention	Ideals
SGP (Staatkundig Gereformeerde Partij)	Free market economy	Ideals
SGP (Staatkundig Gereformeerde Partij)	Traditional family values	Ideals
SGP (Staatkundig Gereformeerde Partij)	National sovereignty	Ideals
SGP (Staatkundig Gereformeerde Partij)	Rule of law	Ideals
SGP (Staatkundig Gereformeerde Partij)	Reduce taxes for low-income earners	Political Matters/Actions
SGP (Staatkundig Gereformeerde Partij)	Simplify the tax system	Political Matters/Actions
SGP (Staatkundig Gereformeerde Partij)	Abolish the dividend tax	Political Matters/Actions
SGP (Staatkundig Gereformeerde Partij)	Introduce a flat rate income tax	Political Matters/Actions
SGP (Staatkundig Gereformeerde Partij)	Reduce government spending	Political Matters/Actions
SGP (Staatkundig Gereformeerde Partij)	Privatize public services	Political Matters/Actions
SGP (Staatkundig Gereformeerde Partij)	Promote entrepreneurship	Political Matters/Actions
SGP (Staatkundig Gereformeerde Partij)	Encourage home ownership	Political Matters/Actions
SGP (Staatkundig Gereformeerde Partij)	Strengthen law and order	Political Matters/Actions
SGP (Staatkundig Gereformeerde Partij)	Increase defense spending	Political Matters/Actions
SGP (Staatkundig Gereformeerde Partij)	Implement a stricter immigration policy	Political Matters/Actions
SGP (Staatkundig Gereformeerde Partij)	Protect traditional values and norms	Political Matters/Actions
SGP (Staatkundig Gereformeerde Partij)	Support for farmers and rural areas	Political Matters/Actions
SGP (Staatkundig Gereformeerde Partij)	Invest in infrastructure	Political Matters/Actions
SGP (Staatkundig Gereformeerde Partij)	Encourage sustainable energy sources	Political Matters/Actions
SGP (Staatkundig Gereformeerde Partij)	Promote education and skills development	Political Matters/Actions
SGP (Staatkundig Gereformeerde Partij)	Foster international trade agreements	Political Matters/Actions
SGP (Staatkundig Gereformeerde Partij)	Strengthen European cooperation	Political Matters/Actions
SGP (Staatkundig Gereformeerde Partij)	Enforce strict financial discipline	Political Matters/Actions
SGP (Staatkundig Gereformeerde Partij)	Return to a balanced budget amendment	Political Matters/Actions
SGP (Staatkundig Gereformeerde Partij)	The main issue that the SGP wants to address is the perceived threat to traditional Dutch culture and values posed by mass immigration, cultural relativism, and EU centralization. They believe that preserving national identity and promoting conservative values is key to maintaining a strong and cohesive society.	Main Issue
SP (Socialistische Partij)	Social justice	Ideals
SP (Socialistische Partij)	Equality	Ideals
SP (Socialistische Partij)	Solidarity	Ideals
SP (Socialistische Partij)	Democracy	Ideals
SP (Socialistische Partij)	Transparency	Ideals
SP (Socialistische Partij)	Sustainability	Ideals
SP (Socialistische Partij)	Reduce income inequality by increasing the minimum wage and implementing a maximum wage ratio.	Political Matters/Actions
SP (Socialistische Partij)	Implement a fair tax system where the wealthy pay their share.	Political Matters/Actions
SP (Socialistische Partij)	Invest in public services such as education, healthcare, and infrastructure.	Political Matters/Actions
SP (Socialistische Partij)	Promote sustainable energy and reduce pollution.	Political Matters/Actions
SP (Socialistische Partij)	Strengthen workers' rights and unionization.	Political Matters/Actions
SP (Socialistische Partij)	Improve pension benefits and ensure a decent retirement income.	Political Matters/Actions
SP (Socialistische Partij)	Encourage cooperative ownership and community control of businesses.	Political Matters/Actions
SP (Socialistische Partij)	Increase funding for arts and culture.	Political Matters/Actions
SP (Socialistische Partij)	Implement progressive immigration policies and oppose discrimination against minorities.	Political Matters/Actions
SP (Socialistische Partij)	Support feminist and LGBTQ+ movements and promote gender equality.	Political Matters/Actions
SP (Socialistische Partij)	Strengthen democratic institutions and increase transparency in government decision-making.	Political Matters/Actions
SP (Socialistische Partij)	Reduce military spending and invest in peaceful conflict resolution.	Political Matters/Actions
SP (Socialistische Partij)	Promote international solidarity and cooperation.	Political Matters/Actions
SP (Socialistische Partij)	Address climate change through drastic measures such as reducing meat consumption and promoting electric vehicles.	Political Matters/Actions
SP (Socialistische Partij)	Ensure affordable housing and address homelessness.	Political Matters/Actions
SP (Socialistische Partij)	Support small businesses and local economies.	Political Matters/Actions
SP (Socialistische Partij)	Provide free education and reduce student debt.	Political Matters/Actions
SP (Socialistische Partij)	Protect the rights of indigenous peoples and promote environmental conservation.	Political Matters/Actions
SP (Socialistische Partij)	Implement harm reduction strategies for drug addiction and promote evidence-based drug policy.	Political Matters/Actions
SP (Socialistische Partij)	Oppose privatization of public services and promote public ownership.	Political Matters/Actions
SP (Socialistische Partij)	he main issue that the SP wants to address is the growing wealth gap between the rich and the poor, which they believe threatens the stability and cohesion of society. They argue that the current economic system prioritizes profits over people and that it needs to be transformed to serve the common good.	Political Matters/Actions
VOLT	Democracy	Ideals
VOLT	Participation	Ideals
VOLT	Inclusivity	Ideals
VOLT	Sustainability	Ideals
VOLT	Transparency	Ideals
VOLT	Accountability	Ideals
VOLT	Equality	Ideals
VOLT	Social justice	Ideals
VOLT	Introduction of a participatory budgeting system	Political Matters/Actions
VOLT	Creation of a national framework for citizen initiatives	Political Matters/Actions
VOLT	Strengthening local democracy through the election of mayors by residents	Political Matters/Actions
VOLT	Encouragement of civic participation in decision-making processes	Political Matters/Actions
VOLT	Promotion of sustainable energy transition	Political Matters/Actions
VOLT	Implementation of a comprehensive approach to spatial planning	Political Matters/Actions
VOLT	Development of a long-term vision for the Netherlands' role in Europe and the world	Political Matters/Actions
VOLT	Strengthening of European cooperation on issues such as climate change, migration, and economic inequality	Political Matters/Actions
VOLT	Establishment of a fair tax system	Political Matters/Actions
VOLT	Reduction of bureaucracy for citizens and businesses	Political Matters/Actions
VOLT	Simplification of government structures	Political Matters/Actions
VOLT	Increased investment in education and skills development	Political Matters/Actions
VOLT	Support for entrepreneurship and innovation	Political Matters/Actions
VOLT	Encouragement of cultural diversity and artistic expression	Political Matters/Actions
VOLT	Protection of human rights and rule of law	Political Matters/Actions
VOLT	Gender equality and emancipation	Political Matters/Actions
VOLT	LGBTIQ+ rights	Political Matters/Actions
VOLT	Accessibility and inclusiveness for people with disabilities	Political Matters/Actions
VOLT	Stronger regional development and cooperation	Political Matters/Actions
VOLT	Greater transparency and accountability in government	Political Matters/Actions
VOLT	Fighting climate change and a strong united Europe	Main Issue
VVD (Volkspartij voor Vrijheid en Democratie)	Freedom	Ideals
VVD (Volkspartij voor Vrijheid en Democratie)	Democracy	Ideals
VVD (Volkspartij voor Vrijheid en Democratie)	Individual responsibility	Ideals
VVD (Volkspartij voor Vrijheid en Democratie)	Entrepreneurship	Ideals
VVD (Volkspartij voor Vrijheid en Democratie)	Innovation	Ideals
VVD (Volkspartij voor Vrijheid en Democratie)	Sustainability	Ideals
VVD (Volkspartij voor Vrijheid en Democratie)	Equality of opportunity	Ideals
VVD (Volkspartij voor Vrijheid en Democratie)	Social cohesion	Ideals
VVD (Volkspartij voor Vrijheid en Democratie)	Reduce taxes for citizens and businesses	Political Matters/Actions
VVD (Volkspartij voor Vrijheid en Democratie)	Simplify regulations and reduce bureaucracy	Political Matters/Actions
VVD (Volkspartij voor Vrijheid en Democratie)	Promote entrepreneurship and innovation	Political Matters/Actions
VVD (Volkspartij voor Vrijheid en Democratie)	Encourage sustainable energy transition	Political Matters/Actions
VVD (Volkspartij voor Vrijheid en Democratie)	Improve education and invest in talent development	Political Matters/Actions
VVD (Volkspartij voor Vrijheid en Democratie)	Strengthen public healthcare and social security systems	Political Matters/Actions
VVD (Volkspartij voor Vrijheid en Democratie)	Increase investment in infrastructure and mobility	Political Matters/Actions
VVD (Volkspartij voor Vrijheid en Democratie)	Support urban development and revitalization of city centers	Political Matters/Actions
VVD (Volkspartij voor Vrijheid en Democratie)	Encourage home ownership and affordable housing	Political Matters/Actions
VVD (Volkspartij voor Vrijheid en Democratie)	Combat climate change and promote environmental protection	Political Matters/Actions
VVD (Volkspartij voor Vrijheid en Democratie)	Enhance international cooperation and European integration	Political Matters/Actions
VVD (Volkspartij voor Vrijheid en Democratie)	Strengthen rule of law and judicial system	Political Matters/Actions
VVD (Volkspartij voor Vrijheid en Democratie)	Promote active civic participation and democratic renewal	Political Matters/Actions
VVD (Volkspartij voor Vrijheid en Democratie)	Address poverty and inequality through targeted policies	Political Matters/Actions
VVD (Volkspartij voor Vrijheid en Democratie)	Improve relations between the Netherlands and its Caribbean territories	Political Matters/Actions
VVD (Volkspartij voor Vrijheid en Democratie)	Develop a national strategy for artificial intelligence and digital transformation	Political Matters/Actions
VVD (Volkspartij voor Vrijheid en Democratie)	Encourage responsible use of data and technology	Political Matters/Actions
VVD (Volkspartij voor Vrijheid en Democratie)	Strengthen cybersecurity measures	Political Matters/Actions
VVD (Volkspartij voor Vrijheid en Democratie)	Support cultural diversity and creative industries	Political Matters/Actions
VVD (Volkspartij voor Vrijheid en Democratie)	Encourage sports and physical activity	Political Matters/Actions
VVD (Volkspartij voor Vrijheid en Democratie)	The main issue that the VVD wants to address is the need for a strong and sustainable economy that benefits all citizens, while ensuring a high quality of life and protecting the environment. They believe that by promoting entrepreneurship, innovation, and individual freedom, they can create a more prosperous and equitable society.	Main Issue
D66 (Democraten 66)	Freedom	Ideals
D66 (Democraten 66)	Equality	Ideals
D66 (Democraten 66)	Solidarity	Ideals
D66 (Democraten 66)	Sustainability	Ideals
D66 (Democraten 66)	Open society	Ideals
D66 (Democraten 66)	European integration	Ideals
D66 (Democraten 66)	International cooperation	Ideals
D66 (Democraten 66)	Rule of law	Ideals
D66 (Democraten 66)	Climate action and energy transition	Political Matters/Actions
D66 (Democraten 66)	Investment in education and skills development	Political Matters/Actions
D66 (Democraten 66)	Strengthening of social cohesion and combating poverty	Political Matters/Actions
D66 (Democraten 66)	Improving public healthcare and accessibility	Political Matters/Actions
D66 (Democraten 66)	Promoting entrepreneurship and innovation	Political Matters/Actions
D66 (Democraten 66)	Encouraging participation and diversity in politics	Political Matters/Actions
D66 (Democraten 66)	Strengthening democracy and fighting populism	Political Matters/Actions
D66 (Democraten 66)	Enhancing security and justice	Political Matters/Actions
D66 (Democraten 66)	Supporting international development and cooperation	Political Matters/Actions
D66 (Democraten 66)	Protecting human rights and minorities	Political Matters/Actions
D66 (Democraten 66)	Encouraging sustainable agriculture and food production	Political Matters/Actions
D66 (Democraten 66)	Fostering a circular economy	Political Matters/Actions
D66 (Democraten 66)	Investing in infrastructure and mobility	Political Matters/Actions
D66 (Democraten 66)	Promoting cultural diversity and arts	Political Matters/Actions
D66 (Democraten 66)	Strengthening EU integration and cooperation	Political Matters/Actions
D66 (Democraten 66)	Addressing the COVID-19 pandemic and future crises	Political Matters/Actions
D66 (Democraten 66)	Reducing bureaucracy and increasing efficiency	Political Matters/Actions
D66 (Democraten 66)	Fighting discrimination and promoting equality	Political Matters/Actions
D66 (Democraten 66)	Supporting scientific research and innovation	Political Matters/Actions
D66 (Democraten 66)	Encouraging active citizenship and community engagement	Political Matters/Actions
D66 (Democraten 66)	The main issue that D66 wants to address is the need for a strong, united, and progressive Europe that can effectively tackle global challenges such as climate change, economic inequality, and political instability. They believe that by working together across borders and sectors, Europe can become a role model for a more sustainable, equitable, and just world.	Main Issue
